Date,"Jurgen Klopp"
2017-02-17,27
2017-02-18,36
2017-02-19,37
2017-02-20,36
2017-02-21,41
2017-02-22,35
2017-02-23,41
2017-02-24,50
2017-02-25,37
2017-02-26,42
2017-02-27,82
2017-02-28,89
2017-03-01,57
2017-03-02,43
2017-03-03,47
2017-03-04,67
2017-03-05,51
2017-03-06,51
2017-03-07,39
2017-03-08,33
2017-03-09,38
2017-03-10,30
2017-03-11,30
2017-03-12,60
2017-03-13,42
2017-03-14,47
2017-03-15,35
2017-03-16,28
2017-03-17,27
2017-03-18,21
2017-03-19,47
2017-03-20,31
2017-03-21,30
2017-03-22,29
2017-03-23,27
2017-03-24,29
2017-03-25,25
2017-03-26,23
2017-03-27,35
2017-03-28,33
2017-03-29,31
2017-03-30,42
2017-03-31,36
2017-04-01,88
2017-04-02,58
2017-04-03,45
2017-04-04,49
2017-04-05,52
2017-04-06,34
2017-04-07,34
2017-04-08,43
2017-04-09,32
2017-04-10,41
2017-04-11,48
2017-04-12,48
2017-04-13,53
2017-04-14,34
2017-04-15,27
2017-04-16,65
2017-04-17,65
2017-04-18,72
2017-04-19,55
2017-04-20,37
2017-04-21,45
2017-04-22,24
2017-04-23,55
2017-04-24,44
2017-04-25,25
2017-04-26,36
2017-04-27,40
2017-04-28,44
2017-04-29,35
2017-04-30,36
2017-05-01,72
2017-05-02,53
2017-05-03,42
2017-05-04,35
2017-05-05,29
2017-05-06,32
2017-05-07,63
2017-05-08,44
2017-05-09,42
2017-05-10,30
2017-05-11,29
2017-05-12,35
2017-05-13,34
2017-05-14,64
2017-05-15,56
2017-05-16,50
2017-05-17,44
2017-05-18,52
2017-05-19,63
2017-05-20,45
2017-05-21,146
2017-05-22,98
2017-05-23,58
2017-05-24,58
2017-05-25,81
2017-05-26,45
2017-05-27,54
2017-05-28,38
2017-05-29,78
2017-05-30,83
2017-05-31,85
2017-06-01,41
2017-06-02,44
2017-06-03,21
2017-06-04,27
2017-06-05,43
2017-06-06,55
2017-06-07,30
2017-06-08,30
2017-06-09,17
2017-06-10,16
2017-06-11,16
2017-06-12,36
2017-06-13,31
2017-06-14,23
2017-06-15,41
2017-06-16,75
2017-06-17,31
2017-06-18,26
2017-06-19,36
2017-06-20,30
2017-06-21,15
2017-06-22,35
2017-06-23,34
2017-06-24,35
2017-06-25,17
2017-06-26,29
2017-06-27,21
2017-06-28,29
2017-06-29,24
2017-06-30,28
2017-07-01,9
2017-07-02,27
2017-07-03,47
2017-07-04,29
2017-07-05,33
2017-07-06,26
2017-07-07,19
2017-07-08,26
2017-07-09,35
2017-07-10,29
2017-07-11,25
2017-07-12,25
2017-07-13,31
2017-07-14,24
2017-07-15,14
2017-07-16,13
2017-07-17,27
2017-07-18,35
2017-07-19,36
2017-07-20,23
2017-07-21,32
2017-07-22,19
2017-07-23,28
2017-07-24,29
2017-07-25,43
2017-07-26,42
2017-07-27,31
2017-07-28,26
2017-07-29,26
2017-07-30,26
2017-07-31,41
2017-08-01,42
2017-08-02,49
2017-08-03,29
2017-08-04,41
2017-08-05,26
2017-08-06,26
2017-08-07,29
2017-08-08,42
2017-08-09,37
2017-08-10,57
2017-08-11,74
2017-08-12,89
2017-08-13,67
2017-08-14,62
2017-08-15,103
2017-08-16,58
2017-08-17,48
2017-08-18,56
2017-08-19,62
2017-08-20,55
2017-08-21,44
2017-08-22,33
2017-08-23,87
2017-08-24,73
2017-08-25,70
2017-08-26,48
2017-08-27,107
2017-08-28,106
2017-08-29,82
2017-08-30,75
2017-08-31,75
2017-09-01,59
2017-09-02,52
2017-09-03,52
2017-09-04,35
2017-09-05,44
2017-09-06,39
2017-09-07,59
2017-09-08,62
2017-09-09,71
2017-09-10,41
2017-09-11,68
2017-09-12,40
2017-09-13,85
2017-09-14,64
2017-09-15,53
2017-09-16,60
2017-09-17,37
2017-09-18,53
2017-09-19,82
2017-09-20,74
2017-09-21,56
2017-09-22,40
2017-09-23,57
2017-09-24,39
2017-09-25,52
2017-09-26,70
2017-09-27,56
2017-09-28,84
2017-09-29,74
2017-09-30,39
2017-10-01,73
2017-10-02,56
2017-10-03,45
2017-10-04,34
2017-10-05,50
2017-10-06,39
2017-10-07,21
2017-10-08,41
2017-10-09,31
2017-10-10,34
2017-10-11,38
2017-10-12,57
2017-10-13,69
2017-10-14,107
2017-10-15,39
2017-10-16,49
2017-10-17,59
2017-10-18,36
2017-10-19,43
2017-10-20,26
2017-10-21,42
2017-10-22,105
2017-10-23,119
2017-10-24,62
2017-10-25,40
2017-10-26,78
2017-10-27,92
2017-10-28,110
2017-10-29,60
2017-10-30,39
2017-10-31,41
2017-11-01,43
2017-11-02,49
2017-11-03,34
2017-11-04,39
2017-11-05,35
2017-11-06,49
2017-11-07,36
2017-11-08,31
2017-11-09,37
2017-11-10,32
2017-11-11,17
2017-11-12,27
2017-11-13,26
2017-11-14,18
2017-11-15,47
2017-11-16,34
2017-11-17,27
2017-11-18,30
2017-11-19,29
2017-11-20,38
2017-11-21,59
2017-11-22,43
2017-11-23,37
2017-11-24,22
2017-11-25,47
2017-11-26,43
2017-11-27,43
2017-11-28,37
2017-11-29,54
2017-11-30,39
2017-12-01,34
2017-12-02,38
2017-12-03,44
2017-12-04,39
2017-12-05,35
2017-12-06,75
2017-12-07,75
2017-12-08,39
2017-12-09,38
2017-12-10,101
2017-12-11,79
2017-12-12,45
2017-12-13,44
2017-12-14,35
2017-12-15,25
2017-12-16,28
2017-12-17,55
2017-12-18,48
2017-12-19,38
2017-12-20,48
2017-12-21,45
2017-12-22,96
2017-12-23,61
2017-12-24,52
2017-12-25,43
